2026-07-03 18:47:25,895 | INFO | กำลัง Train Random Forest
2026-07-03 18:47:26,582 | INFO | กำลัง Train Gradient Boosting
2026-07-03 18:47:27,139 | INFO | กำลัง Train XGBoost
2026-07-03 18:47:27,291 | INFO | 
2026-07-03 18:47:27,291 | INFO | =============================================
2026-07-03 18:47:27,291 | INFO | 🏆 AI Leaderboard
2026-07-03 18:47:27,291 | INFO | =============================================
2026-07-03 18:47:27,292 | INFO | 1. Gradient Boosting   47.47%
2026-07-03 18:47:27,292 | INFO | 2. Random Forest       44.94%
2026-07-03 18:47:27,292 | INFO | 3. XGBoost             44.38%
2026-07-03 18:47:27,292 | INFO | =============================================
2026-07-03 18:47:27,292 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 18:47:27,298 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 18:47:27,322 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 18:54:25,301 | INFO | เริ่มต้นโปรแกรม
2026-07-03 18:54:25,301 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 18:54:26,285 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 18:54:26,298 | INFO | 💾 บันทึกข้อมูล -> data/20260703_185426.csv
2026-07-03 18:54:26,735 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 18:54:26,735 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 18:54:26,735 | INFO | เริ่ม AI Tournament
2026-07-03 18:54:26,737 | INFO | กำลัง Train Random Forest
2026-07-03 18:54:27,459 | INFO | กำลัง Train Gradient Boosting
2026-07-03 18:54:28,019 | INFO | กำลัง Train XGBoost
2026-07-03 18:54:28,192 | INFO | 
2026-07-03 18:54:28,192 | INFO | =============================================
2026-07-03 18:54:28,192 | INFO | 🏆 AI Leaderboard
2026-07-03 18:54:28,192 | INFO | =============================================
2026-07-03 18:54:28,192 | INFO | 1. Gradient Boosting   47.47%
2026-07-03 18:54:28,193 | INFO | 2. Random Forest       44.94%
2026-07-03 18:54:28,193 | INFO | 3. XGBoost             44.38%
2026-07-03 18:54:28,193 | INFO | =============================================
2026-07-03 18:54:28,193 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 18:54:28,200 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 18:54:28,276 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 18:55:09,585 | INFO | เริ่มต้นโปรแกรม
2026-07-03 18:55:09,585 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 18:55:10,333 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 18:55:10,344 | INFO | 💾 บันทึกข้อมูล -> data/20260703_185510.csv
2026-07-03 18:55:10,696 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 18:55:10,696 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 18:55:10,697 | INFO | เริ่ม AI Tournament
2026-07-03 18:55:10,700 | INFO | กำลัง Train Random Forest
2026-07-03 18:55:11,368 | INFO | กำลัง Train Gradient Boosting
2026-07-03 18:55:11,958 | INFO | กำลัง Train XGBoost
2026-07-03 18:55:12,102 | INFO | 
2026-07-03 18:55:12,102 | INFO | =============================================
2026-07-03 18:55:12,102 | INFO | 🏆 AI Leaderboard
2026-07-03 18:55:12,102 | INFO | =============================================
2026-07-03 18:55:12,103 | INFO | 1. Gradient Boosting   47.47%
2026-07-03 18:55:12,103 | INFO | 2. Random Forest       44.94%
2026-07-03 18:55:12,103 | INFO | 3. XGBoost             44.38%
2026-07-03 18:55:12,103 | INFO | =============================================
2026-07-03 18:55:12,103 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 18:55:12,110 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 18:55:12,136 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 18:55:12,141 | INFO | 
2026-07-03 18:55:12,141 | INFO | ========== Prediction ==========
2026-07-03 18:55:12,141 | INFO | Signal      : 🔴 SELL
2026-07-03 18:55:12,141 | INFO | Confidence  : 56.43%
2026-07-03 18:55:12,142 | INFO | ===============================
2026-07-03 19:01:50,621 | INFO | เริ่มต้นโปรแกรม
